"","TLD","Alexa #","Domain #","Start Date","ASCII","Whois Server","Registry"
"126","network","32","15764","2014-08-18","network","whois.donuts.co","registry"
"127","bio","10","15686","2014-05-15","bio","whois.ksregistry.net","registry"
"128","reviews","13","15673","2014-02-06","reviews","whois.unitedtld.com","registry"
"129","hosting","14","15305","2014-08-15","hosting","whois.uniregistry.net","registry"
"130","marketing","18","15244","2014-01-09","marketing","whois.donuts.co","registry"
"131","swiss","2","15227","2015-04-16","swiss","whois.nic.swiss","registry"
"132","москва","5","15183","2014-04-17","xn--80adxhks","whois.nic.xn--80adxhks","registry"
"133","miami","1","15157","2014-02-28","miami","whois-dub.mm-registry.com","registry"
"134","christmas","1","15153","2014-02-13","christmas","whois.uniregistry.net","registry"
"135","video","52","15149","2014-12-17","video","whois.rightside.co","registry"
"136","在线","NA","14830","2013-12-19","xn--3ds443g","whois.afilias-srs.net","registry"
"137","wien","2","14789","2013-12-19","wien","whois.nic.wien","registry"
"138","istanbul","22","14467","2015-05-29","istanbul","whois.afilias-srs.net","registry"
"139","church","7","14359","2014-05-08","church","whois.donuts.co","registry"
"140","house","12","14140","2013-12-19","house","whois.donuts.co","registry"
"141","vegas","2","13877","2014-03-20","vegas","whois.afilias-srs.net","registry"
"142","land","26","13693","2013-11-08","land","whois.donuts.co","registry"
"143","ruhr","1","13652","2013-11-25","ruhr","whois.nic.ruhr","registry"
"144","bike","21","13576","2013-11-08","bike","whois.donuts.co","registry"
"145","frl","1","13524","2014-08-22","frl","whois.nic.frl","registry"
"146","商城","NA","13389","2014-02-27","xn--czru2d","whois.gtld.knet.cn","registry"
"147","clothing","2","13318","2013-10-31","clothing","whois.donuts.co","registry"
"148","guide","32","13246","2014-05-08","guide","whois.donuts.co","registry"
"149","lawyer","1","13179","2014-05-22","lawyer","whois.rightside.co","registry"
"150","studio","6","12737","2015-06-25","studio","whois.rightside.co","registry"
"151","care","5","12649","2014-04-17","care","whois.donuts.co","registry"
"152","porn","42","12632","2014-11-26","porn","whois.afilias-srs.net","registry"
"153","beer","2","12516","2014-03-13","beer","whois-dub.mm-registry.com","registry"
"154","中文网","1","12460","2013-12-19","xn--fiq228c5hs","whois.afilias-srs.net","registry"
"155","cool","18","12181","2014-01-16","cool","whois.donuts.co","registry"
"156","sex","14","12181","2015-04-09","sex","whois.afilias-srs.net","registry"
"157","blackfriday","1","12096","2014-04-17","blackfriday","whois.uniregistry.net","registry"
"158","business","6","11676","2014-08-18","business","whois.donuts.co","registry"
"159","immo","3","11571","2014-08-22","immo","whois.donuts.co","registry"
"160","scot","14","11537","2014-06-05","scot","whois.scot.coreregistry.net","registry"
"161","properties","1","11057","2014-01-30","properties","whois.donuts.co","registry"
"162","coffee","7","11015","2013-12-19","coffee","whois.donuts.co","registry"
"163","ist","5","10918","2015-05-29","ist","whois.afilias-srs.net","registry"
"164","wales","10","10854","2014-07-31","wales","whois.nic.wales","registry"
"165","rentals","4","10614","2014-01-30","rentals","whois.donuts.co","registry"
"166","sale","5","10503","2014-12-17","sale","whois.rightside.co","registry"
"167","market","17","10464","2014-05-22","market","whois.rightside.co","registry"
"168","wine","1","10459","2015-07-23","wine","whois.donuts.co","registry"
"169","gmbh","NA","10290","2016-03-03","gmbh","whois.donuts.co","registry"
"170","works","27","10059","2014-01-16","works","whois.donuts.co","registry"
"171","software","13","9977","2014-05-22","software","whois.rightside.co","registry"
"172","kiwi","3","9972","2013-11-25","kiwi","whois.nic.kiwi","registry"
"173","community","21","9901","2014-01-23","community","whois.donuts.co","registry"
"174","nrw","6","9792","2014-05-29","nrw","whois.nic.nrw","registry"
"175","рус","1","9642","2014-07-03","xn--p1acf","whois.nic.xn--p1acf","registry"
"176","adult","8","9435","2014-11-26","adult","whois.afilias-srs.net","registry"
