"","TLD","Alexa #","Domain #","Start Date","ASCII","Whois Server","Registry"
"755","iwc","NA","1","2014-11-20","iwc","whois.nic.iwc","registry"
"756","jlc","NA","1","2015-03-12","jlc","whois.nic.jlc","registry"
"757","kddi","NA","1","2014-12-18","kddi","whois.nic.kddi","registry"
"758","kia","NA","1","2015-09-17","kia","whois.nic.kia","registry"
"759","lacaixa","NA","1","2014-07-10","lacaixa","whois.nic.lacaixa","registry"
"760","lasalle","NA","1","2015-06-04","lasalle","whois.afilias-srs.net","registry"
"761","lds","NA","1","2014-10-16","lds","whois.afilias-srs.net","registry"
"762","lixil","NA","1","2015-07-16","lixil","whois.nic.lixil","registry"
"763","lotte","NA","1","2015-01-08","lotte","whois.nic.lotte","registry"
"764","luxe","NA","1","2014-03-13","luxe","whois-dub.mm-registry.com","registry"
"765","madrid","NA","1","2014-10-02","madrid","whois.madrid.rs.corenic.net","registry"
"766","meet","NA","1","2014-03-20","meet","whois.afilias.net","registry"
"767","montblanc","NA","1","2014-11-20","montblanc","whois.nic.montblanc","registry"
"768","mormon","NA","1","2014-10-16","mormon","whois.afilias-srs.net","registry"
"769","movistar","1","1","2015-06-18","movistar","whois-fe.movistar.tango.knipp.de","registry"
"770","mtpc","NA","1","2015-02-27","mtpc","whois.nic.gmo","registry"
"771","nexus","NA","1","2014-09-04","nexus","domain-registry-whois.l.google.com","registry"
"772","nhk","NA","1","2014-04-24","nhk","whois.nic.nhk","registry"
"773","nissan","NA","1","2014-07-10","nissan","whois.nic.gmo","registry"
"774","office","6","1","2015-06-04","office","whois.nic.office","registry"
"775","panerai","NA","1","2015-02-19","panerai","whois.nic.panerai","registry"
"776","piaget","NA","1","2015-01-08","piaget","whois.nic.piaget","registry"
"777","play","1","1","2015-06-04","play","whois.nic.google","registry"
"778","pohl","NA","1","2014-09-18","pohl","whois.ksregistry.net","registry"
"779","sakura","NA","1","2015-06-04","sakura","whois.nic.sakura","registry"
"780","scholarships","NA","1","2014-07-10","scholarships","whois.afilias-srs.net","registry"
"781","scor","NA","1","2015-04-30","scor","whois.nic.scor","registry"
"782","seek","NA","1","2015-04-16","seek","whois.nic.seek","registry"
"783","starhub","NA","1","2015-05-08","starhub","whois.nic.starhub","registry"
"784","stc","3","1","2015-08-20","stc","whois.centralnic.com","registry"
"785","stcgroup","NA","1","2015-08-20","stcgroup","whois.centralnic.com","registry"
"786","stockholm","NA","1","2015-09-17","stockholm","whois.afilias-srs.net","registry"
"787","telefonica","4","1","2015-06-18","telefonica","whois-fe.telefonica.tango.knipp.de","registry"
"788","temasek","NA","1","2014-12-18","temasek","whois.afilias-srs.net","registry"
"789","thd","NA","1","2015-05-14","thd","whois.afilias-srs.net","registry"
"790","tui","NA","1","2014-09-18","tui","whois.ksregistry.net","registry"
"791","viva","NA","1","2015-08-20","viva","whois.centralnic.com","registry"
"792","wtc","NA","1","2014-04-17","wtc","whois.nic.wtc","registry"
"793","कॉम","NA","1","2015-07-02","xn--11b4c3d","whois.nic.xn--11b4c3d","registry"
"794","点看","NA","1","2015-07-02","xn--3pxu8k","whois.nic.xn--3pxu8k","registry"
"795","คอม","NA","1","2015-07-02","xn--42c2d9a","whois.nic.xn--42c2d9a","registry"
"796","公益","NA","1","2013-12-12","xn--55qw42g","whois.conac.cn","registry"
"797","קום","NA","1","2015-07-02","xn--9dbq2a","whois.nic.xn--9dbq2a","registry"
"798","时尚","NA","1","2015-03-12","xn--9et52u","whois.nic.wang","registry"
"799","淡马锡","NA","1","2014-12-18","xn--b4w605ferd","whois.afilias-srs.net","registry"
"800","नेट","NA","1","2015-07-02","xn--c2br7g","whois.nic.xn--c2br7g","registry"
"801","商店","NA","1","2014-11-20","xn--czrs0t","whois.donuts.co","registry"
"802","工行","NA","1","2015-04-23","xn--estv75g","whois.afilias-srs.net","registry"
"803","كوم","NA","1","2015-07-02","xn--fhbei","whois.nic.xn--fhbei","registry"
"804","谷歌","NA","1","2014-10-09","xn--flw351e","domain-registry-whois.l.google.com","registry"
"805","ком","NA","1","2015-07-02","xn--j1aef","whois.nic.xn--j1aef","registry"
"806","组织机构","NA","1","2014-02-27","xn--nqv7fs00ema","whois.publicinterestregistry.net","registry"
"807","大拿","NA","1","2015-07-02","xn--pssy2u","whois.nic.xn--pssy2u","registry"
"808","グーグル","NA","1","2014-10-09","xn--qcka1pmc","domain-registry-whois.l.google.com","registry"
"809","vermögensberater","NA","1","2014-09-18","xn--vermgensberater-ctb","whois.ksregistry.net","registry"
"810","vermögensberatung","NA","1","2014-09-18","xn--vermgensberatung-pwb","whois.ksregistry.net","registry"
"811","企业","NA","1","2013-11-25","xn--vhquv","whois.donuts.co","registry"
"812","政务","NA","1","2013-12-12","xn--zfr164b","whois.conac.cn","registry"
"813","yodobashi","NA","1","2015-02-13","yodobashi","whois.nic.gmo","registry"
"814","zuerich","NA","1","2014-12-18","zuerich","whois.ksregistry.net","registry"
"815","cipriani","NA","1","2015-07-30","cipriani","whois.afilias-srs.net","registry"
"816","virgin","NA","1","2015-09-10","virgin","whois.nic.virgin","registry"
"817","yamaxun","NA","1","2015-09-10","yamaxun","whois.nic.yamaxun","registry"
"818","vuelos","NA","1","2016-02-19","vuelos","whois.nic.vuelos","registry"
"819","mutuelle","NA","1","2015-09-24","mutuelle","whois-mutuelle.nic.fr","registry"
"820","网站","NA","1","2015-12-04","xn--5tzm5g","whois.afilias-srs.net","registry"
"821","zara","NA","1","2015-09-10","zara","whois.afilias-srs.net","registry"
"822","gucci","NA","1","2015-03-06","gucci","whois.nic.gucci","registry"
"823","meo","NA","1","2015-01-15","meo","whois.nic.meo","registry"
"824","ping","NA","1","2015-09-24","ping","whois.nic.ping","registry"
"825","sapo","NA","1","2015-01-15","sapo","whois.nic.sapo","registry"
"826","apple","NA","1","2015-07-02","apple","whois.afilias-srs.net","registry"
"827","beats","NA","1","2015-08-13","beats","whois.afilias-srs.net","registry"
"828","fairwinds","NA","1","2015-10-29","fairwinds","whois.nic.fairwinds","registry"
"829","playstation","NA","1","2015-09-24","playstation","whois.nic.playstation","registry"
"830","comsec","NA","1","2015-10-08","comsec","whois.nic.comsec","registry"
"831","cityeats","NA","1","2015-09-24","cityeats","whois.nic.cityeats","registry"
"832","creditunion","NA","1","2015-10-15","creditunion","whois.afilias-srs.net","registry"
"833","lifestyle","NA","1","2015-10-01","lifestyle","whois.nic.lifestyle","registry"
"834","vana","NA","1","2015-09-24","vana","whois.nic.vana","registry"
"835","ford","NA","1","2015-12-10","ford","whois.nic.ford","registry"
"836","grainger","NA","1","2015-10-29","grainger","whois.nic.grainger","registry"
"837","tab","NA","1","2015-09-04","tab","whois.nic.tab","registry"
"838","book","1","1","2015-11-12","book","whois.nic.book","registry"
"839","موبايلي","NA","1","2015-12-03","xn--mgbb9fbpob","","registry"
"840","jmp","NA","1","2015-11-20","jmp","whois.nic.jmp","registry"
"841","bot","NA","1","2015-11-12","bot","whois.nic.bot","registry"
"842","购物","NA","1","2016-01-08","xn--g2xx48c","","registry"
"843","boehringer","NA","1","2015-11-06","boehringer","whois.afilias-srs.net","registry"
"844","bostik","NA","1","2015-11-06","bostik","whois-bostik.nic.fr","registry"
"845","verisign","NA","1","2015-11-06","verisign","whois.nic.verisign","registry"
"846","bosch","NA","1","2015-12-18","bosch","whois.nic.bosch","registry"
"847","sfr","NA","1","2015-11-12","sfr","whois.nic.sfr","registry"
"848","author","NA","1","2015-11-12","author","whois.nic.author","registry"
"849","buy","NA","1","2015-11-20","buy","whois.afilias-srs.net","registry"
"850","call","1","1","2015-11-12","call","whois.nic.call","registry"
"851","circle","NA","1","2015-11-12","circle","whois.nic.circle","registry"
"852","fast","NA","1","2015-11-12","fast","whois.nic.fast","registry"
"853","firestone","NA","1","2015-10-29","firestone","whois.nic.firestone","registry"
"854","got","NA","1","2015-11-12","got","whois.nic.got","registry"
"855","jot","NA","1","2015-11-12","jot","whois.nic.jot","registry"
"856","joy","NA","1","2015-11-12","joy","whois.nic.joy","registry"
"857","like","NA","1","2015-11-12","like","whois.nic.like","registry"
"858","nowruz","NA","1","2015-11-25","nowruz","whois.agitsys.net","registry"
"859","pin","NA","1","2015-11-12","pin","whois.nic.pin","registry"
"860","read","NA","1","2015-11-12","read","whois.nic.read","registry"
"861","room","NA","1","2015-11-12","room","whois.nic.room","registry"
"862","safe","NA","1","2015-11-12","safe","whois.nic.safe","registry"
"863","sharp","NA","1","2015-11-25","sharp","whois.nic.gmo","registry"
"864","shia","NA","1","2015-11-25","shia","whois.agitsys.net","registry"
"865","smile","1","1","2015-11-12","smile","whois.nic.smile","registry"
"866","tci","NA","1","2015-11-25","tci","whois.agitsys.net","registry"
"867","zero","NA","1","2015-11-12","zero","whois.nic.zero","registry"
"868","dealer","NA","1","2015-11-25","dealer","whois.nic.dealer","registry"
"869","pars","NA","1","2015-11-25","pars","whois.agitsys.net","registry"
"870","همراه","NA","1","2015-11-25","xn--mgbt3dhd","whois.agitsys.net","registry"
"871","contact","NA","1","2015-12-10","contact","whois.nic.contact","registry"
"872","tushu","NA","1","2015-11-12","tushu","whois.nic.tushu","registry"
"873","watches","NA","1","2015-11-12","watches","whois.nic.watches","registry"
"874","ポイント","NA","1","2015-11-25","xn--eckvdtc9d","","registry"
"875","kfh","1","1","2015-10-29","kfh","whois.centralnic.com","registry"
"876","kpn","NA","1","2015-12-04","kpn","whois.nic.kpn","registry"
"877","wanggou","NA","1","2015-11-12","wanggou","whois.nic.wanggou","registry"
"878","手表","NA","1","2015-11-12","xn--kpu716f","","registry"
"879","بيتك","NA","1","2015-10-29","xn--ngbe9e0a","whois.centralnic.com","registry"
"880","珠宝","NA","1","2015-11-12","xn--pbt977c","","registry"
"881","lincoln","NA","1","2015-12-10","lincoln","whois.nic.lincoln","registry"
"882","sas","NA","1","2015-11-20","sas","whois.nic.sas","registry"
"883","诺基亚","NA","1","2015-04-23","xn--jlq61u9w7b","whois.afilias-srs.net","registry"
"884","clinique","NA","1","2015-12-10","clinique","whois.afilias-srs.net","registry"
"885","analytics","NA","1","2015-11-20","analytics","whois.nic.analytics","registry"
"886","mobily","NA","1","2015-12-03","mobily","whois.nic.mobily","registry"
"887","pid","NA","1","2015-12-10","pid","whois.nic.pid","registry"
"888","star","NA","1","2015-12-10","star","whois.afilias-srs.net","registry"
"889","lamer","NA","1","2015-12-10","lamer","whois.afilias-srs.net","registry"
"890","origins","NA","1","2015-12-10","origins","whois.afilias-srs.net","registry"
"891","rexroth","NA","1","2015-12-17","rexroth","whois.nic.rexroth","registry"
"892","safety","NA","1","2015-04-23","safety","whois.nic.safety","registry"
"893","schaeffler","NA","1","2015-12-17","schaeffler","whois.afilias-srs.net","registry"
"894","baidu","1","1","2015-12-17","baidu","whois.ngtld.cn","registry"
"895","living","NA","1","2015-12-10","living","whois.nic.living","registry"
"896","dubai","NA","1","2015-12-17","dubai","whois.nic.dubai","registry"
"897","frontier","NA","1","2016-01-29","frontier","whois.nic.frontier","registry"
"898","fresenius","NA","1","2015-12-17","fresenius","whois.ksregistry.net","registry"
"899","alibaba","1","1","2016-01-08","alibaba","whois.nic.alibaba","registry"
"900","weather","NA","1","2015-12-23","weather","whois.nic.weather","registry"
"901","lifeinsurance","NA","1","2015-07-09","lifeinsurance","whois.nic.lifeinsurance","registry"
"902","iselect","NA","1","2015-11-20","iselect","whois.nic.iselect","registry"
"903","mlb","NA","1","2016-05-05","mlb","whois.nic.mlb","registry"
"904","compare","NA","1","2015-12-23","compare","whois.nic.compare","registry"
"905","select","NA","1","2015-12-23","select","whois.nic.select","registry"
"906","skin","NA","1","2015-12-23","skin","whois.nic.skin","registry"
"907","alipay","1","1","2016-01-08","alipay","whois.nic.alipay","registry"
"908","softbank","NA","1","2015-12-23","softbank","whois.nic.softbank","registry"
"909","edeka","NA","1","2016-01-08","edeka","whois.afilias-srs.net","registry"
"910","pamperedchef","NA","1","2015-05-14","pamperedchef","whois.nic.pamperedchef","registry"
"911","taobao","1","1","2016-01-08","taobao","whois.nic.taobao","registry"
"912","tiffany","NA","1","2015-12-17","tiffany","whois.nic.tiffany","registry"
"913","tmall","1","1","2016-01-08","tmall","whois.nic.tmall","registry"
"914","adac","NA","1","2015-11-20","adac","whois.nic.adac","registry"
"915","health","NA","1","2015-09-17","health","whois.nic.health","registry"
"916","helsinki","NA","1","2015-12-10","helsinki","whois.afilias-srs.net","registry"
"917","spot","NA","1","2016-01-29","spot","whois.nic.spot","registry"
"918","weatherchannel","NA","1","2016-01-22","weatherchannel","whois.nic.weatherchannel","registry"
"919","quest","NA","1","2015-08-06","quest","whois.nic.quest","registry"
"920","nfl","NA","1","2016-06-03","nfl","whois.nic.nfl","registry"
"921","ファッション","NA","1","2016-01-29","xn--bck1b9a5dre4c","","registry"
"922","coupon","NA","1","2016-01-29","coupon","whois.nic.coupon","registry"
"923","kerrylogistics","NA","1","2015-12-17","kerrylogistics","whois.nic.kerrylogistics","registry"
"924","song","NA","1","2016-01-29","song","whois.nic.song","registry"
"925","tvs","NA","1","2016-02-05","tvs","whois.afilias-srs.net","registry"
"926","flickr","NA","1","2016-01-29","flickr","whois.nic.flickr","registry"
"927","gallup","NA","1","2015-10-15","gallup","whois.afilias-srs.net","registry"
"928","hdfcbank","NA","1","2016-02-05","hdfcbank","whois.afilias-srs.net","registry"
"929","natura","NA","1","2016-01-29","natura","whois.afilias-srs.net","registry"
"930","pwc","NA","1","2016-01-15","pwc","whois.afilias-srs.net","registry"
"931","wolterskluwer","NA","1","2016-02-05","wolterskluwer","whois.afilias-srs.net","registry"
"932","yahoo","2","1","2016-01-29","yahoo","whois.nic.yahoo","registry"
"933","セール","NA","1","2016-01-29","xn--1ck2e1b","","registry"
"934","ストア","NA","1","2016-01-29","xn--cck2b3b","","registry"
"935","クラウド","NA","1","2016-01-29","xn--gckr3f0f","","registry"
"936","書籍","NA","1","2016-01-29","xn--rovu88b","","registry"
"937","嘉里大酒店","NA","1","2016-02-05","xn--w4r85el8fhu5dnra","whois.nic.xn--w4r85el8fhu5dnra","registry"
"938","telecity","NA","1","2016-02-11","telecity","whois.nic.telecity","registry"
"939","viking","NA","1","2015-10-15","viking","whois.afilias-srs.net","registry"
"940","食品","NA","1","2016-01-29","xn--jvr189m","","registry"
"941","kerryhotels","NA","1","2015-12-17","kerryhotels","whois.nic.kerryhotels","registry"
"942","tunes","NA","1","2016-01-29","tunes","whois.nic.tunes","registry"
"943","passagens","NA","1","2016-02-19","passagens","whois.nic.passagens","registry"
"944","avianca","NA","1","2016-02-26","avianca","whois.afilias-srs.net","registry"
"945","kerryproperties","NA","1","2015-12-17","kerryproperties","whois.nic.kerryproperties","registry"
"946","lipsy","NA","1","2016-04-21","lipsy","whois.nic.lipsy","registry"
"947","kuokgroup","NA","1","2015-12-17","kuokgroup","whois.nic.kuokgroup","registry"
"948","imamat","NA","1","2016-04-07","imamat","whois.afilias-srs.net","registry"
"949","家電","NA","1","2016-03-18","xn--fct429k","","registry"
"950","olayan","NA","1","2016-04-21","olayan","whois.nic.olayan","registry"
"951","bcg","NA","1","2016-02-11","bcg","whois.afilias-srs.net","registry"
"952","total","NA","1","2016-02-05","total","whois-total.nic.fr","registry"
"953","jnj","NA","1","2016-01-14","jnj","whois.nic.jnj","registry"
"954","teva","NA","1","2016-02-19","teva","whois.nic.teva","registry"
"955","ally","NA","1","2015-10-22","ally","whois.afilias-srs.net","registry"
"956","gallo","NA","1","2015-10-24","gallo","whois.nic.gallo","registry"
"957","anquan","NA","1","2016-03-18","anquan","whois.teleinfo.cn","registry"
"958","barefoot","NA","1","2015-10-24","barefoot","whois.nic.barefoot","registry"
"959","hkt","NA","1","2016-04-15","hkt","whois.afilias-srs.net","registry"
"960","extraspace","NA","1","2016-02-26","extraspace","whois.afilias-srs.net","registry"
"961","talk","NA","1","2016-03-18","talk","whois.nic.talk","registry"
"962","you","1","1","2016-03-18","you","whois.nic.you","registry"
"963","cam","1","1","2016-06-09","cam","whois.ksregistry.net","registry"
"964","kpmg","NA","1","2016-01-14","kpmg","whois.nic.kpmg","registry"
"965","jcp","NA","1","2016-03-03","jcp","whois.afilias-srs.net","registry"
"966","nissay","NA","1","2016-01-08","nissay","whois.nic.nissay","registry"
"967","shouji","NA","1","2016-03-18","shouji","whois.teleinfo.cn","registry"
"968","sina","NA","1","2016-02-29","sina","whois.afilias-srs.net","registry"
"969","xihuan","NA","1","2016-03-18","xihuan","whois.teleinfo.cn","registry"
"970","yun","1","1","2016-03-18","yun","whois.teleinfo.cn","registry"
"971","mutual","NA","1","2015-07-02","mutual","whois.nic.mutual","registry"
"972","abbvie","NA","1","2016-02-26","abbvie","whois.afilias-srs.net","registry"
"973","abudhabi","NA","1","2016-02-26","abudhabi","whois.nic.abudhabi","registry"
"974","baby","NA","1","2016-01-14","baby","whois.nic.baby","registry"
"975","northwesternmutual","NA","1","2015-12-04","northwesternmutual","whois.nic.northwesternmutual","registry"
"976","vig","NA","1","2015-11-25","vig","whois.afilias-srs.net","registry"
"977","weibo","NA","1","2016-02-29","weibo","whois.afilias-srs.net","registry"
"978","微博","NA","1","2016-02-29","xn--9krt00a","whois.afilias-srs.net","registry"
"979","ابوظبي","NA","1","2016-03-03","xn--mgbca7dzdo","whois.nic.xn--mgbca7dzdo","registry"
"980","mls","NA","1","2015-08-20","mls","whois.nic.mls","registry"
"981","olayangroup","NA","1","2016-04-21","olayangroup","whois.nic.olayangroup","registry"
"982","agakhan","NA","1","2016-03-31","agakhan","whois.afilias-srs.net","registry"
"983","akdn","NA","1","2016-03-31","akdn","whois.afilias-srs.net","registry"
"984","richardli","NA","1","2016-04-15","richardli","whois.afilias-srs.net","registry"
"985","العليان","NA","1","2016-04-21","xn--mgba7c0bbn0a","whois.nic.xn--mgba7c0bbn0a","registry"
"986","ftr","NA","1","2016-01-29","ftr","whois.nic.ftr","registry"
"987","ismaili","NA","1","2016-04-07","ismaili","whois.afilias-srs.net","registry"
"988","sbi","NA","1","2016-03-24","sbi","whois.afilias-srs.net","registry"
"989","statebank","NA","1","2016-03-24","statebank","whois.afilias-srs.net","registry"
"990","next","NA","1","2016-04-21","next","whois.nic.next","registry"
"991","blog","NA","1","2016-05-12","blog","whois.nic.blog","registry"
"992","嘉里","NA","1","2016-02-05","xn--w4rs40l","whois.nic.xn--w4rs40l","registry"
"993","progressive","NA","1","2016-02-19","progressive","whois.afilias-srs.net","registry"
"994","airbus","NA","1","2016-05-26","airbus","whois.nic.airbus","registry"
"995","nowtv","NA","1","2016-04-15","nowtv","whois.afilias-srs.net","registry"
"996","nextdirect","NA","1","2016-04-21","nextdirect","whois.nic.nextdirect","registry"
"997","warman","NA","1","2016-04-14","warman","whois.nic.warman","registry"
"998","pccw","NA","1","2016-04-15","pccw","whois.afilias-srs.net","registry"
"999","dds","NA","1","2016-01-08","dds","whois-dub.mm-registry.com","registry"
"1000","aetna","NA","1","2016-04-21","aetna","whois.nic.aetna","registry"
"1001","metlife","NA","1","2016-03-18","metlife","whois.afilias-srs.net","registry"
"1002","guardian","NA","1","2016-04-14","guardian","whois.nic.guardian","registry"
"1003","flir","NA","1","2016-03-03","flir","whois.nic.flir","registry"
"1004","電訊盈科","NA","1","2016-04-15","xn--fzys8d69uvgm","whois.afilias-srs.net","registry"
"1005","shangrila","NA","1","2016-06-24","shangrila","whois.nic.shangrila","registry"
"1006","dot","NA","1","2016-04-21","dot","whois.afilias-srs.net","registry"
"1007","itv","NA","1","2016-05-19","itv","whois.afilias-srs.net","registry"
"1008","realestate","NA","1","2016-04-28","realestate","whois.nic.realestate","registry"
"1009","shop","NA","1","2016-05-05","shop","whois.nic.shop","registry"
"1010","dhl","NA","1","2016-05-26","dhl","whois.nic.dhl","registry"
"1011","mattel","NA","1","2016-01-22","mattel","whois.nic.mattel","registry"
"1012","dtv","NA","1","2016-05-19","dtv","whois.afilias-srs.net","registry"
"1013","locker","NA","1","2016-05-19","locker","whois.afilias-srs.net","registry"
"1014","ollo","NA","1","2016-05-19","ollo","whois.afilias-srs.net","registry"
"1015","ott","NA","1","2016-05-19","ott","whois.afilias-srs.net","registry"
"1016","ups","1","1","2016-04-14","ups","whois.afilias-srs.net","registry"
"1017","games","NA","1","2016-05-24","games","whois.rightside.co","registry"
"1018","hisamitsu","NA","1","2016-05-13","hisamitsu","whois.nic.gmo","registry"
"1019","pioneer","NA","1","2016-05-26","pioneer","whois.nic.gmo","registry"
"1020","zappos","NA","1","2016-05-19","zappos","whois.nic.zappos","registry"
"1021","farmers","NA","1","2016-04-21","farmers","whois.nic.farmers","registry"
"1022","audible","NA","1","2016-05-19","audible","whois.nic.audible","registry"
"1023","chintai","NA","1","2016-03-03","chintai","whois.nic.chintai","registry"
"1024","deal","NA","1","2016-05-19","deal","whois.nic.deal","registry"
"1025","epost","NA","1","2016-05-26","epost","whois.nic.epost","registry"
"1026","fire","NA","1","2016-05-19","fire","whois.nic.fire","registry"
"1027","imdb","NA","1","2016-05-19","imdb","whois.nic.imdb","registry"
"1028","kindle","NA","1","2016-05-19","kindle","whois.nic.kindle","registry"
"1029","now","NA","1","2016-05-19","now","whois.nic.now","registry"
"1030","prime","NA","1","2016-05-19","prime","whois.nic.prime","registry"
"1031","save","NA","1","2016-05-19","save","whois.nic.save","registry"
"1032","silk","NA","1","2016-05-19","silk","whois.nic.silk","registry"
"1033","tdk","NA","1","2016-03-10","tdk","whois.nic.tdk","registry"
"1034","dunlop","NA","1","2015-12-17","dunlop","whois.afilias-srs.net","registry"
"1035","dupont","NA","1","2016-05-05","dupont","whois.nic.dupont","registry"
"1036","ericsson","NA","1","2016-04-14","ericsson","whois.nic.ericsson","registry"
"1037","goodyear","NA","1","2015-12-17","goodyear","whois.afilias-srs.net","registry"
"1038","kosher","NA","1","2016-06-03","kosher","whois.afilias-srs.net","registry"
"1039","art","NA","1","2016-06-09","art","whois.centralnic.com","registry"
"1040","anz","NA","1","2016-06-09","anz","whois.nic.anz","registry"
"1041","blanco","NA","1","2016-06-03","blanco","whois.nic.blanco","registry"
"1042","shopping","NA","1","2016-06-08","shopping","whois.donuts.co","registry"
"1043","orientexpress","NA","1","2016-06-14","orientexpress","whois.afilias-srs.net","registry"
"1044","fedex","NA","1","2016-06-09","fedex","whois.afilias-srs.net","registry"
"1045","politie","NA","1","2016-06-16","politie","whois.nic.politie","registry"
"1046","woodside","NA","1","2016-01-08","woodside","whois.nic.woodside","registry"
"1047","香格里拉","NA","1","2016-06-24","xn--5su34j936bgsg","whois.nic.xn--5su34j936bgsg","registry"
"1048","doosan","NA","0","2014-10-30","doosan","whois.nic.doosan","registry"
"1049","ac","70","NA","1997-12-19","ac","whois.nic.ac","registry"
"1050","ad","33","NA","1996-01-09","ad","","registry"
"1051","ae","713","NA","1992-12-01","ae","whois.aeda.net.ae","registry"
"1052","aero","112","NA","2001-12-21","aero","whois.aero","registry"
"1053","af","55","NA","1997-10-16","af","whois.nic.af","registry"
"1054","ag","90","NA","1991-09-03","ag","whois.nic.ag","registry"
"1055","ai","64","NA","1995-02-16","ai","whois.ai","registry"
"1056","al","156","NA","1992-04-21","al","whois.nic.al","registry"
"1057","am","376","NA","1994-08-26","am","whois.amnic.net","registry"
"1058","ao","41","NA","1995-11-15","ao","","registry"
"1059","aq","1","NA","1992-02-26","aq","","registry"
"1060","ar","2512","NA","1987-09-23","ar","whois.nic.ar","registry"
"1061","arpa","1","NA","1985-01-01","arpa","whois.iana.org","registry"
"1062","as","27","NA","1997-06-12","as","whois.nic.as","registry"
"1063","asia","542","NA","2007-05-02","asia","whois.nic.asia","registry"
"1064","at","2164","NA","1988-01-20","at","whois.nic.at","registry"
"1065","au","7042","NA","1986-03-05","au","whois.audns.net.au","registry"
"1066","aw","2","NA","1996-02-20","aw","whois.nic.aw","registry"
"1067","ax","3","NA","2006-06-21","ax","whois.ax","registry"
"1068","az","1003","NA","1993-08-25","az","","registry"
"1069","ba","246","NA","1996-08-14","ba","","registry"
"1070","bb","5","NA","1991-09-03","bb","","registry"
"1071","bd","301","NA","1999-05-20","bd","","registry"
"1072","be","2550","NA","1988-08-05","be","whois.dns.be","registry"
"1073","bf","14","NA","1993-03-29","bf","","registry"
"1074","bg","1125","NA","1995-01-03","bg","whois.register.bg","registry"
"1075","bh","49","NA","1994-02-01","bh","whois.nic.bh","registry"
"1076","bi","7","NA","1996-10-21","bi","whois1.nic.bi","registry"
"1077","bj","5","NA","1996-01-18","bj","whois.nic.bj","registry"
"1078","bm","14","NA","1993-03-31","bm","","registry"
"1079","bn","28","NA","1994-06-03","bn","whois.bnnic.bn","registry"
"1080","bnpparibas","4","NA","2014-07-31","bnpparibas","whois.afilias-srs.net","registry"
"1081","bo","116","NA","1991-02-26","bo","whois.nic.bo","registry"
"1082","br","15307","NA","1989-04-18","br","whois.registro.br","registry"
"1083","bs","6","NA","1991-09-03","bs","","registry"
"1084","bt","22","NA","1997-07-16","bt","","registry"
"1085","bv","1","NA","1997-08-21","bv","","registry"
"1086","bw","13","NA","1993-03-19","bw","whois.nic.net.bw","registry"
"1087","by","1658","NA","1994-05-10","by","whois.cctld.by","registry"
"1088","bz","204","NA","1991-09-03","bz","","registry"
"1089","ca","4456","NA","1987-05-14","ca","whois.cira.ca","registry"
"1090","cc","1774","NA","1997-10-13","cc","ccwhois.verisign-grs.com","registry"
"1091","cd","29","NA","1997-08-20","cd","whois.nic.cd","registry"
"1092","cf","162","NA","1996-04-24","cf","whois.dot.cf","registry"
"1093","cg","3","NA","1997-01-14","cg","","registry"
"1094","ch","2452","NA","1987-05-20","ch","whois.nic.ch","registry"
"1095","ci","61","NA","1995-02-14","ci","whois.nic.ci","registry"
"1096","ck","1","NA","1995-08-08","ck","whois.nic.ck","registry"
"1097","cl","1344","NA","1995-01-27","cl","whois.nic.cl","registry"
"1098","cm","86","NA","1995-04-29","cm","whois.nic.cm","registry"
"1099","cn","12562","NA","1990-11-28","cn","whois.cnnic.cn","registry"
"1100","co","5596","NA","1991-12-24","co","whois.nic.co","registry"
"1101","cr","172","NA","1990-09-10","cr","whois.nic.cr","registry"
"1102","cu","66","NA","1992-06-03","cu","","registry"
"1103","cv","14","NA","1996-10-21","cv","","registry"
"1104","cw","5","NA","2010-12-20","cw","","registry"
"1105","cx","39","NA","1997-04-24","cx","whois.nic.cx","registry"
"1106","cy","137","NA","1994-07-26","cy","","registry"
"1107","cz","4394","NA","1993-01-13","cz","whois.nic.cz","registry"
"1108","de","22527","NA","1986-11-05","de","whois.denic.de","registry"
"1109","dj","17","NA","1996-05-22","dj","","registry"
"1110","dk","2191","NA","1987-07-14","dk","whois.dk-hostmaster.dk","registry"
"1111","dm","3","NA","1991-09-03","dm","whois.nic.dm","registry"
"1112","do","294","NA","1991-08-25","do","whois.nic.do","registry"
"1113","dz","173","NA","1994-01-03","dz","whois.nic.dz","registry"
"1114","ec","303","NA","1991-02-01","ec","whois.nic.ec","registry"
"1115","edu","3276","NA","1985-01-01","edu","whois.educause.edu","registry"
"1116","ee","507","NA","1992-06-03","ee","whois.tld.ee","registry"
"1117","eg","612","NA","1990-11-30","eg","","registry"
"1118","er","NA","NA","1996-09-24","er","","registry"
"1119","es","6685","NA","1988-04-14","es","whois.nic.es","registry"
"1120","et","10","NA","1995-10-15","et","","registry"
"1121","eu","4078","NA","2005-04-28","eu","whois.eu","registry"
"1122","fi","1801","NA","1986-12-17","fi","whois.fi","registry"
"1123","fj","12","NA","1992-06-03","fj","","registry"
"1124","fk","1","NA","1997-03-26","fk","whois.nic.fk","registry"
"1125","fm","412","NA","1995-04-19","fm","whois.nic.fm","registry"
"1126","fo","21","NA","1993-05-14","fo","whois.nic.fo","registry"
"1127","fr","10315","NA","1986-09-02","fr","whois.nic.fr","registry"
"1128","ga","178","NA","1994-12-12","ga","","registry"
